Taxon,site_name,block,BACI,group_var,time,trt
Achillea_millefolium,Agroscope Changins,1,-0.030000000000000013,quadrat,T0-T3,DIST
Achillea_millefolium,Agroscope Changins,2,-0.05,quadrat,T0-T3,DIST
Achillea_millefolium,Agroscope Changins,3,-0.04000000000000001,quadrat,T0-T3,DIST
Achillea_millefolium,Agroscope Changins,4,-0.04,quadrat,T0-T3,DIST
Agrostis_capillaris,Agroscope Changins,2,-0.03,quadrat,T0-T3,DIST
Agrostis_capillaris,Agroscope Changins,3,0.09999999999999999,quadrat,T0-T3,DIST
Agrostis_capillaris,Agroscope Changins,4,0.01,quadrat,T0-T3,DIST
Agrostis_capillaris,Agroscope Changins,1,0.03,quadrat,T0-T3,DIST
Alopecurus_pratensis,Agroscope Changins,2,0.03,quadrat,T0-T3,DIST
Alopecurus_pratensis,Agroscope Changins,3,-0.215,quadrat,T0-T3,DIST
Alopecurus_pratensis,Agroscope Changins,4,0.009000000000000001,quadrat,T0-T3,DIST
Arrhenatherum_elatius,Agroscope Changins,2,-0.04,quadrat,T0-T3,DIST
Arrhenatherum_elatius,Agroscope Changins,3,0.004,quadrat,T0-T3,DIST
Arrhenatherum_elatius,Agroscope Changins,1,0,quadrat,T0-T3,DIST
Arrhenatherum_elatius,Agroscope Changins,4,0.005,quadrat,T0-T3,DIST
Bromus_hordeaceus,Agroscope Changins,1,0.001,quadrat,T0-T3,DIST
Bromus_hordeaceus,Agroscope Changins,3,0.001,quadrat,T0-T3,DIST
Bromus_hordeaceus,Agroscope Changins,4,0.001,quadrat,T0-T3,DIST
Centaurea_jacea,Agroscope Changins,1,-0.02,quadrat,T0-T3,DIST
Centaurea_jacea,Agroscope Changins,2,-0.028999999999999998,quadrat,T0-T3,DIST
Centaurea_jacea,Agroscope Changins,4,-0.06999999999999999,quadrat,T0-T3,DIST
Centaurea_jacea,Agroscope Changins,3,-0.005,quadrat,T0-T3,DIST
Cerastium_fontanum,Agroscope Changins,1,0,quadrat,T0-T3,DIST
Cerastium_fontanum,Agroscope Changins,2,0.02,quadrat,T0-T3,DIST
Cerastium_fontanum,Agroscope Changins,3,-0.005,quadrat,T0-T3,DIST
Cerastium_fontanum,Agroscope Changins,4,0.01,quadrat,T0-T3,DIST
Convolvulus_arvensis,Agroscope Changins,1,-0.005000000000000001,quadrat,T0-T3,DIST
Convolvulus_arvensis,Agroscope Changins,2,-0.005,quadrat,T0-T3,DIST
Convolvulus_arvensis,Agroscope Changins,3,0.014,quadrat,T0-T3,DIST
Convolvulus_arvensis,Agroscope Changins,4,-0.01,quadrat,T0-T3,DIST
Crepis_biennis,Agroscope Changins,1,0.019999999999999997,quadrat,T0-T3,DIST
Crepis_biennis,Agroscope Changins,2,-0.030000000000000006,quadrat,T0-T3,DIST
Crepis_biennis,Agroscope Changins,3,-0.039999999999999994,quadrat,T0-T3,DIST
Crepis_biennis,Agroscope Changins,4,-0.05000000000000001,quadrat,T0-T3,DIST
Dactylis_glomerata,Agroscope Changins,1,-0.024999999999999998,quadrat,T0-T3,DIST
Dactylis_glomerata,Agroscope Changins,2,0,quadrat,T0-T3,DIST
Dactylis_glomerata,Agroscope Changins,3,-0.028999999999999998,quadrat,T0-T3,DIST
Dactylis_glomerata,Agroscope Changins,4,-0.0010000000000000009,quadrat,T0-T3,DIST
Daucus_carota,Agroscope Changins,1,0.04000000000000001,quadrat,T0-T3,DIST
Daucus_carota,Agroscope Changins,2,-0.05500000000000001,quadrat,T0-T3,DIST
Daucus_carota,Agroscope Changins,4,-0.11,quadrat,T0-T3,DIST
Elymus_repens,Agroscope Changins,4,0.04,quadrat,T0-T3,DIST
Festuca_arundinacea,Agroscope Changins,1,0,quadrat,T0-T3,DIST
Festuca_arundinacea,Agroscope Changins,2,0.02,quadrat,T0-T3,DIST
Festuca_arundinacea,Agroscope Changins,3,1.734723475976807e-18,quadrat,T0-T3,DIST
Festuca_arundinacea,Agroscope Changins,4,0.15000000000000002,quadrat,T0-T3,DIST
Festuca_pratensis,Agroscope Changins,1,-0.01,quadrat,T0-T3,DIST
Festuca_pratensis,Agroscope Changins,3,0,quadrat,T0-T3,DIST
Festuca_pratensis,Agroscope Changins,4,-0.03,quadrat,T0-T3,DIST
Galium_album,Agroscope Changins,1,-0.02,quadrat,T0-T3,DIST
