Taxon,site_name,block,BACI,group_var,time,trt
Achillea_millefolium,Agroscope Changins,1,-0.020000000000000004,quadrat,T0-T2,DIST
Achillea_millefolium,Agroscope Changins,2,-0.055,quadrat,T0-T2,DIST
Achillea_millefolium,Agroscope Changins,3,-0.020000000000000004,quadrat,T0-T2,DIST
Achillea_millefolium,Agroscope Changins,4,-0.08,quadrat,T0-T2,DIST
Agrostis_capillaris,Agroscope Changins,2,-0.04,quadrat,T0-T2,DIST
Agrostis_capillaris,Agroscope Changins,3,0.04000000000000001,quadrat,T0-T2,DIST
Agrostis_capillaris,Agroscope Changins,4,3.469446951953614e-18,quadrat,T0-T2,DIST
Agrostis_capillaris,Agroscope Changins,1,0.02,quadrat,T0-T2,DIST
Alopecurus_pratensis,Agroscope Changins,2,0.07,quadrat,T0-T2,DIST
Alopecurus_pratensis,Agroscope Changins,3,-0.205,quadrat,T0-T2,DIST
Alopecurus_pratensis,Agroscope Changins,4,0.018999999999999996,quadrat,T0-T2,DIST
Arrhenatherum_elatius,Agroscope Changins,2,-0.065,quadrat,T0-T2,DIST
Arrhenatherum_elatius,Agroscope Changins,3,0.049,quadrat,T0-T2,DIST
Arrhenatherum_elatius,Agroscope Changins,1,0,quadrat,T0-T2,DIST
Arrhenatherum_elatius,Agroscope Changins,4,0.024999999999999998,quadrat,T0-T2,DIST
Bromus_hordeaceus,Agroscope Changins,1,0.001,quadrat,T0-T2,DIST
Bromus_hordeaceus,Agroscope Changins,3,0.001,quadrat,T0-T2,DIST
Bromus_hordeaceus,Agroscope Changins,4,0.001,quadrat,T0-T2,DIST
Centaurea_jacea,Agroscope Changins,2,-0.009000000000000001,quadrat,T0-T2,DIST
Centaurea_jacea,Agroscope Changins,4,-0.12,quadrat,T0-T2,DIST
Centaurea_jacea,Agroscope Changins,1,-0.01,quadrat,T0-T2,DIST
Centaurea_jacea,Agroscope Changins,3,-0.005,quadrat,T0-T2,DIST
Cerastium_fontanum,Agroscope Changins,1,0.01,quadrat,T0-T2,DIST
Cerastium_fontanum,Agroscope Changins,2,0.01,quadrat,T0-T2,DIST
Cerastium_fontanum,Agroscope Changins,3,0.005,quadrat,T0-T2,DIST
Cerastium_fontanum,Agroscope Changins,4,0.005,quadrat,T0-T2,DIST
Convolvulus_arvensis,Agroscope Changins,1,0.015000000000000003,quadrat,T0-T2,DIST
Convolvulus_arvensis,Agroscope Changins,2,0,quadrat,T0-T2,DIST
Convolvulus_arvensis,Agroscope Changins,3,0.004,quadrat,T0-T2,DIST
Convolvulus_arvensis,Agroscope Changins,4,0.019999999999999997,quadrat,T0-T2,DIST
Crepis_biennis,Agroscope Changins,1,0.045,quadrat,T0-T2,DIST
Crepis_biennis,Agroscope Changins,2,-0.04000000000000001,quadrat,T0-T2,DIST
Crepis_biennis,Agroscope Changins,3,-0.01999999999999999,quadrat,T0-T2,DIST
Crepis_biennis,Agroscope Changins,4,-0.05000000000000001,quadrat,T0-T2,DIST
Dactylis_glomerata,Agroscope Changins,1,-0.005,quadrat,T0-T2,DIST
Dactylis_glomerata,Agroscope Changins,2,-0.005,quadrat,T0-T2,DIST
Dactylis_glomerata,Agroscope Changins,3,-0.009000000000000001,quadrat,T0-T2,DIST
Dactylis_glomerata,Agroscope Changins,4,0.013999999999999999,quadrat,T0-T2,DIST
Daucus_carota,Agroscope Changins,1,0.025,quadrat,T0-T2,DIST
Daucus_carota,Agroscope Changins,3,-0.04,quadrat,T0-T2,DIST
Daucus_carota,Agroscope Changins,2,-0.01,quadrat,T0-T2,DIST
Daucus_carota,Agroscope Changins,4,-0.1,quadrat,T0-T2,DIST
Elymus_repens,Agroscope Changins,4,0.04,quadrat,T0-T2,DIST
Festuca_arundinacea,Agroscope Changins,1,0.015,quadrat,T0-T2,DIST
Festuca_arundinacea,Agroscope Changins,2,0.01,quadrat,T0-T2,DIST
Festuca_arundinacea,Agroscope Changins,3,0,quadrat,T0-T2,DIST
Festuca_arundinacea,Agroscope Changins,4,0.1,quadrat,T0-T2,DIST
Festuca_pratensis,Agroscope Changins,1,-0.005,quadrat,T0-T2,DIST
Festuca_pratensis,Agroscope Changins,3,0,quadrat,T0-T2,DIST
Galium_album,Agroscope Changins,1,-0.01,quadrat,T0-T2,DIST
Galium_album,Agroscope Changins,4,-0.07999999999999999,quadrat,T0-T2,DIST
Holcus_lanatus,Agroscope Changins,1,-0.12,quadrat,T0-T2,DIST
Holcus_lanatus,Agroscope Changins,2,0.009999999999999981,quadrat,T0-T2,DIST
Holcus_lanatus,Agroscope Changins,3,0.010000000000000009,quadrat,T0-T2,DIST
Holcus_lanatus,Agroscope Changins,4,-0.12,quadrat,T0-T2,DIST
Knautia_arvensis,Agroscope Changins,3,0.005,quadrat,T0-T2,DIST
Lolium_perenne,Agroscope Changins,3,0.005,quadrat,T0-T2,DIST
Lolium_perenne,Agroscope Changins,4,0.03,quadrat,T0-T2,DIST
Lolium_perenne,Agroscope Changins,1,0.01,quadrat,T0-T2,DIST
Lolium_perenne,Agroscope Changins,2,0.01,quadrat,T0-T2,DIST
Lotus_corniculatus,Agroscope Changins,1,-0.005,quadrat,T0-T2,DIST
Lotus_corniculatus,Agroscope Changins,2,0.06,quadrat,T0-T2,DIST
Lotus_corniculatus,Agroscope Changins,3,0,quadrat,T0-T2,DIST
Lotus_corniculatus,Agroscope Changins,4,0.06000000000000001,quadrat,T0-T2,DIST
Onobrychis_viciifolia,Agroscope Changins,2,-0.005,quadrat,T0-T2,DIST
Phleum_pratense,Agroscope Changins,2,0.060000000000000005,quadrat,T0-T2,DIST
Plantago_lanceolata,Agroscope Changins,1,0.05,quadrat,T0-T2,DIST
Plantago_lanceolata,Agroscope Changins,2,0.04,quadrat,T0-T2,DIST
Plantago_lanceolata,Agroscope Changins,3,0.030000000000000002,quadrat,T0-T2,DIST
Plantago_lanceolata,Agroscope Changins,4,0.05000000000000001,quadrat,T0-T2,DIST
Poa_pratensis,Agroscope Changins,1,0,quadrat,T0-T2,DIST
Poa_pratensis,Agroscope Changins,2,0.015,quadrat,T0-T2,DIST
Poa_pratensis,Agroscope Changins,3,-0.01,quadrat,T0-T2,DIST
Poa_pratensis,Agroscope Changins,4,0.05499999999999999,quadrat,T0-T2,DIST
Poa_trivialis,Agroscope Changins,1,0.015,quadrat,T0-T2,DIST
